Item ID,Description,,Case Weight old,Weight,Case Price Per Pound,price,,,,,,,,,
61511,Dark Chocolate Coffee Beans,,10 lb.,10 ,$8.16,$81.55,,,,,,,,,
61211,Dark Chocolate Dried Cherries,,25 lb.,25 ,$12.67,$316.65,,,,,,,,,
61221,Dark Chocolate Dried Cranberries,,10 lb.,10,$7.18,$71.80,,,,,,,,,
61521,Dark Chocolate Malt Balls,,20 lb.,20 ,$7.45,$148.90,,,,,,,,,
61351,Dark Chocolate Mint Cookie Crisps,,20 lb.,20 ,$7.53,$150.65,,,,,,,,,
61331,Dark Chocolate Mints,,30 lb.,30 ,$4.96,$148.65,,,,,,,,,
61531,Dark Chocolate Nonpareils,,20 lb.,20 ,$6.82,$136.45,,,,,,,,,
61131,Dark Chocolate Peanuts,,25 lb.,25 ,$7.24,$181.10,,,,,,,,,
61231,Dark Chocolate Raisins,,25 lb.,25 ,$6.96,$173.90,,,,,,,,,
61561,Dark Chocolate Pretzel Sticklets,,25 lb.,25 ,$6.96,$173.90,,,,,,,,,
61141,Dark Chocolate Walnuts,,10 lb.,10 ,$8.42,$84.20,,,,,,,,,
MILK CHOCOLATE,,,,,,$0.00,,,,,,,,,
62111,Milk Chocolate Almonds,,20 lb.,20 ,$7.45,$148.90,,,,,,,,,
62711,Milk Chocolate Animal Crackers,,10 lb.,10 ,$6.47,$64.65,,,,,,,,,
62451,Milk Chocolate Boulders ,,30 lb.,30 ,$8.22,$246.65,,,,,,,,,
62521,Milk Chocolate Caramels,,30 lb.,30 ,$5.91,$177.35,,,,,,,,,
62121,Milk Chocolate Cashews,,10 lb.,10 ,$8.78,$87.80,,,,,,,,,
62331,Milk Chocolate Coconut Clusters,,14 lb.,14 ,$8.51,$119.15,,,,,,,,,
62651,Milk Chocolate Cookie Dough,,10 lb.,10 ,$17.39,$173.90,,,,,,,,,
62531,Milk Chocolate English Toffee,,25 lb.,25 ,$9.44,$236.10,,,,,,,,,
62411,Milk Chocolate Ernies (M&M Style),,30 lb.,30 ,$4.78,$143.35,,,,,,,,,
62741,Milk Chocolate Graham Crackers,,15 lb.,15 ,$6.78,$101.65,,,,,,,,,
62211,Milk Chocolate Malt Balls – Double Dipped,,20 lb.,20 ,$6.78,$135.55,,,,,,,,,
62791,Milk Chocolate Mini Peanut Butter Cups,,10 lb.,10 ,$3.94,$39.40,,,,,,,,,
62231,Milk Chocolate Mint Cookie Malt Balls,,20 lb.,20 ,$7.27,$145.35,,,,,,,,,
62761,Milk Chocolate Muddy Bears (Gummy Bears),,15 lb.,15 ,$6.11,$91.65,,,,,,,,,
62551,Milk Chocolate Peanut Caramel Patties,,25 lb.,25 ,$7.44,$186.10,,,,,,,,,
62131,Milk Chocolate Peanut Clusters,,25 lb.,25 ,$6.42,$160.55,,,,,,,,,
62141,Milk Chocolate Peanut Gems (M&M Style),,30 lb.,30 ,$6.60,$198.00,,,,,,,,,
62151,Milk Chocolate Peanuts – Double Dipped,,25 lb.,25 ,$5.96,$148.90,,,,,,,,,
62161,Milk Chocolate Peanuts – Panned,,25 lb.,25 ,$5.96,$148.90,,,,,,,,,
62541,Milk Chocolate Pecan Caramel Patties,,25 lb.,25 ,$11.44,$286.10,,,,,,,,,
62171,Milk Chocolate Pecans,,25 lb.,25 ,$10.42,$260.55,,,,,,,,,
62621,Milk Chocolate Pretzels,,14 lb.,14 ,$6.14,$86.00,,,,,,,,,
62351,Milk Chocolate Raisins,,20 lb.,20 ,$5.96,$119.10,,,,,,,,,
62631,Milk Chocolate Reese’s Pieces,,25 lb.,25 ,$6.27,$156.65,,,,,,,,,
62421,Milk Chocolate Rocks,,30 lb.,30 ,$7.11,$213.35,,,,,,,,,
62441,Milk Chocolate Stars,,35 lb.,35 ,$6.16,$215.45,,,,,,,,,
62181,Milk Chocolate Candy Coated Sunkernels,,30 lb.,30 ,$3.86,$115.80,,,,,,,,,
